ENTRADAS;VISITAS_PAGINAS;GASTO_TOTAL;PRECIO_MEDIO_ENTRADA;TRANSACCIONES;CCAA;PROVINCIA;AÑO;MES
13;112;767,275;46,2125;7;Galicia;A Coruña;2018;1
1;3;22;22;1;Comunidad Foral de Navarra;Navarra;2018;1
21;250;666,1706;34,9555;17;País Vasco;Araba/Álava;2018;1
11354;1562114;426090,9249;33,7201;3904;Comunitat Valenciana;Valencia/València;2018;1
372;30798;11027,9146;30,7811;158;Comunitat Valenciana;Alicante/Alacant;2018;1
13;115;377,008;40,917;12;Canarias;Las Palmas;2018;1
62;199;2101,7872;37,1288;26;Castilla y León;Zamora;2018;1
45;450;2673,9948;64,3478;27;Región de Murcia;Murcia;2018;1
41;278;4786,0776;116,7336;14;País Vasco;Bizkaia;2018;1
2;4;110;55;2;Andalucía;Jaén;2018;1
282;3007;26225,317;73,2186;128;Andalucía;Málaga;2018;1
2;6;75,4488;37,7244;1;Castilla y León;Salamanca;2018;1
4;34;393,1792;98,2948;4;Castilla y León;Burgos;2018;1
573;8509;42172,243;71,9072;253;Cataluña;Tarragona;2018;1
104;712;7287,4474;68,7236;54;Andalucía;Córdoba;2018;1
123;875;8738,0883;63,7536;50;Castilla y León;Valladolid;2018;1
38;842;1735,156;45,662;18;Extremadura;Cáceres;2018;1
103710;22062304;5831406,75;50,2489;42418;Cataluña;Barcelona;2018;1
3;8;122,6043;40,8681;1;Andalucía;Almería;2018;1
4;44;122,874;30,7185;2;Principado de Asturias;Asturias;2018;1
2;3;40;20;1;Castilla - La Mancha;Cuenca;2018;1
139977;45238767;7624981,527;41,136;55415;Comunidad de Madrid;Madrid;2018;1
17;53;1255,5;86,25;8;La Rioja;La Rioja;2018;1
806;16748;23703,5307;38,7291;347;Andalucía;Sevilla;2018;1
1246;45448;78357,1315;60,8238;525;Cataluña;Girona;2018;1
200;2442;9883,8532;66,6831;95;Andalucía;Granada;2018;1
9;67;702,3346;123,6673;5;Castilla y León;Segovia;2018;1
